,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
0,Precious Achiuwa,TOR,F,22,21,26.5,55.2,17.2,10.3,35,0.543,158,0.405,26,0.269,0.405,0.421,8.0,8.2,16.7,1.6,8.4,0.52,0.57,1.1,7.1,96.4,101.4
1,Steven Adams,MEM,C,28,29,24.9,52.0,13.4,22.2,84,0.619,142,0.535,0,0.0,0.535,0.57,7.0,8.8,18.8,2.6,13.8,0.9,0.62,1.76,8.7,118.1,105.6
2,Bam Adebayo,MIA,C-F,24,18,32.9,68.5,26.0,15.3,112,0.759,242,0.521,1,0.0,0.519,0.577,18.7,10.2,17.5,3.2,16.1,1.11,0.33,2.94,10.3,111.0,96.6
3,Santi Aldama,MEM,F-C,20,16,9.7,20.3,20.6,6.6,12,0.583,39,0.538,27,0.111,0.386,0.407,3.6,2.6,14.4,0.8,10.8,0.13,0.19,0.31,8.1,98.2,103.1
4,LaMarcus Aldridge,BKN,C-F,36,25,23.6,49.2,22.2,6.3,48,0.833,230,0.6,30,0.367,0.594,0.621,14.0,5.7,12.8,0.9,6.6,0.4,1.16,0.76,7.0,121.4,102.6
5,Nickeil Alexander-Walker,NOP,G,23,30,28.2,58.8,24.3,9.1,56,0.732,216,0.417,197,0.31,0.439,0.462,13.5,3.9,7.4,2.6,14.8,1.0,0.37,1.47,7.3,96.7,109.8
6,Grayson Allen,MIL,G,26,29,28.8,60.0,16.8,6.1,35,0.857,88,0.5,204,0.407,0.577,0.597,12.7,3.6,6.5,1.3,6.5,0.72,0.34,0.69,5.4,118.2,106.8
7,Jarrett Allen,CLE,C,23,27,32.7,68.2,18.4,14.9,119,0.714,257,0.716,6,0.167,0.705,0.723,16.9,11.0,18.4,2.0,9.9,0.89,1.37,2.04,8.8,132.4,99.2
8,Jose Alvarado,NOP,G,23,8,5.1,10.5,16.2,6.5,3,0.667,8,0.375,5,0.4,0.462,0.489,1.8,0.6,6.7,1.1,32.8,0.5,0.0,0.13,8.3,121.7,105.4
9,Kyle Anderson,MEM,F-G,28,25,21.8,45.5,17.5,11.4,42,0.667,127,0.48,56,0.357,0.497,0.521,8.4,5.4,13.3,2.6,16.4,1.12,0.6,1.04,9.0,110.1,104.5
10,Giannis Antetokounmpo,MIL,F,27,26,32.6,68.0,33.9,12.8,263,0.681,368,0.598,100,0.28,0.56,0.602,27.0,11.6,18.6,5.8,32.7,1.12,1.58,3.31,15.0,118.4,96.2
11,Thanasis Antetokounmpo,MIL,F,29,22,12.8,26.6,13.6,14.6,20,0.65,61,0.525,6,0.0,0.478,0.508,3.5,3.1,12.7,0.8,8.4,0.55,0.23,0.59,6.4,107.8,94.8
12,Carmelo Anthony,LAL,F,37,29,27.6,57.4,19.1,6.4,72,0.819,135,0.452,167,0.413,0.545,0.581,13.4,4.1,7.8,0.9,4.6,0.69,0.62,0.79,5.3,114.2,104.4
13,Cole Anthony,ORL,G,21,23,34.1,71.1,26.6,14.2,88,0.875,204,0.461,175,0.366,0.501,0.547,19.9,6.1,9.5,5.6,28.9,0.83,0.17,3.0,10.3,105.8,108.4
14,OG Anunoby,TOR,F,24,15,37.3,77.8,23.6,8.1,40,0.825,153,0.477,112,0.366,0.508,0.534,20.1,5.4,7.8,2.7,11.7,1.53,0.6,1.67,7.1,110.7,107.0
15,D.J. Augustin,HOU,G,34,24,14.3,29.7,15.3,25.9,22,0.909,25,0.44,57,0.456,0.61,0.654,5.0,1.1,4.1,2.5,25.2,0.25,0.0,1.33,6.7,112.0,113.7
16,Deni Avdija,WAS,F,20,29,21.2,44.2,14.3,8.7,35,0.686,88,0.523,76,0.303,0.491,0.516,6.4,4.8,12.4,1.2,7.9,0.62,0.76,0.59,6.3,107.0,101.3
17,Joel Ayayi,WAS,G,21,5,2.6,5.5,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.4,8.3,0.6,28.1,0.0,0.0,0.0,0.0,0.0,0.0
18,Deandre Ayton,PHX,C,23,19,31.6,65.9,20.9,12.1,52,0.635,227,0.63,5,0.2,0.623,0.632,16.9,11.1,18.1,1.5,7.4,0.84,0.68,1.84,8.3,119.0,97.0
19,Udoka Azubuike,UTA,C-F,22,4,2.0,4.1,11.0,50.0,0,0.0,1,1.0,0,0.0,1.0,1.0,0.5,1.0,27.8,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
20,Marvin Bagley III,SAC,F,22,13,19.6,40.9,17.1,6.8,23,0.652,58,0.569,28,0.286,0.523,0.546,8.1,6.7,17.9,0.6,4.6,0.15,0.31,0.54,6.5,118.3,108.6
21,LaMelo Ball,CHA,G,20,24,33.3,69.4,27.9,14.9,70,0.9,237,0.439,179,0.391,0.502,0.538,20.0,7.7,12.4,8.3,37.3,1.88,0.42,3.25,13.0,110.5,106.0
22,Lonzo Ball,CHI,G,24,27,35.5,73.9,17.4,18.0,17,0.706,106,0.396,197,0.421,0.55,0.556,12.8,5.4,8.4,4.9,19.5,1.7,1.0,2.52,7.9,105.1,103.6
23,Mo Bamba,ORL,C,23,27,28.7,59.7,16.4,12.8,25,0.72,139,0.561,108,0.324,0.528,0.541,10.3,8.6,15.9,1.7,9.5,0.74,2.26,1.41,7.4,107.7,104.7
24,Desmond Bane,MEM,G,23,29,28.9,60.1,22.2,9.0,39,0.923,196,0.52,189,0.407,0.565,0.586,16.2,4.4,8.3,2.3,12.1,0.93,0.45,1.38,7.6,114.4,105.2
25,Dalano Banton,TOR,F,22,27,12.7,26.4,16.8,20.2,24,0.75,76,0.5,20,0.3,0.49,0.526,4.1,2.3,9.9,1.8,20.0,0.41,0.19,1.0,8.1,104.6,102.0
26,Harrison Barnes,SAC,F,29,24,33.3,69.4,20.5,11.9,142,0.845,166,0.512,113,0.381,0.536,0.614,17.5,6.6,10.3,2.4,10.3,0.92,0.13,1.92,7.8,119.2,111.8
27,Scottie Barnes,TOR,F,20,26,36.2,75.3,19.0,11.8,77,0.727,275,0.513,57,0.368,0.52,0.548,15.4,8.3,12.4,3.3,13.9,1.12,1.0,1.88,8.3,114.5,105.3
28,RJ Barrett,NYK,F-G,21,25,31.4,65.4,23.2,10.2,86,0.733,200,0.435,133,0.353,0.473,0.51,15.1,5.6,9.6,2.1,10.8,0.44,0.28,1.68,7.2,101.5,108.1
29,Will Barton,DEN,G,30,24,33.2,69.2,22.2,10.9,35,0.743,179,0.497,157,0.382,0.533,0.546,16.0,5.0,8.4,4.2,19.4,0.88,0.42,1.79,8.4,106.8,109.6
30,Charles Bassey,PHI,C-F,21,12,9.0,18.8,16.0,10.5,9,0.667,27,0.741,3,0.0,0.667,0.677,3.8,3.3,19.9,0.2,3.0,0.17,1.0,0.33,6.0,132.6,93.8
31,Keita Bates-Diop,SAS,F,25,21,14.4,30.1,13.4,17.9,18,0.667,55,0.527,15,0.2,0.479,0.507,3.8,3.5,12.7,0.5,4.6,0.48,0.29,0.81,5.2,97.0,106.2
32,Nicolas Batum,LAC,G-F,33,15,26.7,55.6,12.4,10.6,10,0.5,23,0.783,74,0.432,0.68,0.676,9.1,5.2,10.2,1.5,7.9,1.13,0.8,0.8,6.2,123.6,103.3
33,Kent Bazemore,LAL,G-F,32,20,18.5,38.5,11.7,7.9,13,0.769,42,0.333,45,0.311,0.402,0.431,4.0,1.9,5.3,0.8,5.6,0.85,0.25,0.4,3.9,91.9,100.2
34,Darius Bazley,OKC,F-G,21,27,27.4,57.1,17.0,13.0,46,0.63,137,0.438,96,0.281,0.431,0.454,8.5,6.3,11.7,1.3,7.4,0.89,1.15,1.41,6.0,88.8,108.5
35,Bradley Beal,WAS,G,28,26,36.0,75.1,31.0,13.7,114,0.825,367,0.515,144,0.271,0.484,0.525,22.7,4.7,7.1,5.8,28.4,0.85,0.31,3.42,9.5,102.1,108.4
36,Malik Beasley,MIN,G,25,28,25.6,53.4,19.1,6.1,23,0.739,82,0.415,217,0.341,0.485,0.497,11.0,3.2,6.5,1.6,9.3,0.57,0.18,0.71,6.0,104.1,110.9
37,DeAndre' Bembry,BKN,G-F,27,26,19.6,40.8,12.0,13.5,21,0.476,90,0.6,22,0.409,0.603,0.598,5.6,3.3,9.0,1.1,8.0,0.88,0.5,0.73,5.6,113.2,97.7
38,Davis Bertans,WAS,F,29,19,16.5,34.5,17.4,5.7,23,0.913,21,0.476,84,0.298,0.452,0.504,6.1,1.8,5.9,0.5,4.5,0.37,0.16,0.37,4.3,101.7,104.0
39,Patrick Beverley,MIN,G,33,20,26.0,54.3,14.2,13.0,24,0.667,71,0.577,73,0.342,0.545,0.56,8.7,4.1,8.2,4.7,26.1,0.9,0.85,1.15,8.5,122.7,102.5
40,Saddiq Bey,DET,F,22,26,31.7,66.0,20.1,9.3,49,0.735,169,0.391,159,0.296,0.416,0.442,11.9,5.8,9.9,2.3,12.2,1.04,0.15,1.38,6.8,94.7,109.5
41,Khem Birch,TOR,C,29,15,23.0,47.8,12.9,8.7,33,0.727,74,0.541,6,0.0,0.5,0.55,6.9,5.7,13.3,1.3,8.1,1.0,0.47,0.6,6.5,127.6,106.0
42,Goga Bitadze,IND,C-F,22,17,8.4,17.4,19.5,9.5,17,0.647,25,0.44,25,0.16,0.34,0.391,2.6,2.4,15.5,0.2,2.9,0.53,0.59,0.35,5.1,92.7,89.1
43,Nemanja Bjelica,GSW,F,33,28,14.2,29.7,20.1,16.7,33,0.667,70,0.557,70,0.4,0.579,0.595,6.6,3.9,14.6,1.6,16.3,0.64,0.32,1.11,9.7,111.4,91.4
44,Eric Bledsoe,LAC,G,32,29,26.4,55.0,18.4,17.6,59,0.763,155,0.484,85,0.318,0.481,0.519,9.5,3.8,7.6,3.7,20.4,1.31,0.38,1.97,7.7,101.4,102.9
45,Keljin Blevins,POR,G,26,3,4.7,9.8,18.5,33.3,0,0.0,1,0.0,3,0.667,0.75,0.75,2.0,0.3,3.8,0.3,10.5,0.0,0.0,0.67,4.8,94.0,120.7
46,Bojan Bogdanovic,UTA,F,32,27,29.7,62.0,21.8,9.5,87,0.92,159,0.528,166,0.422,0.582,0.63,17.0,3.8,7.0,1.7,8.5,0.48,0.04,1.41,6.4,123.0,107.1
